accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.4886363744735718,0.5345428586006165,0.8100305199623108,0.484375,0.35227271914482117,0.7727272510528564,0.836776852607727,0.5489960312843323,0.875,0.6363636255264282,9.999999747378752e-05
0.6193181872367859,0.7217845916748047,0.6433415412902832,0.6666666865348816,0.47727271914482117,0.7727272510528564,0.8822314739227295,0.4869652986526489,0.875,0.6363636255264282,9.999999747378752e-05
0.7272727489471436,0.836776852607727,0.5465677976608276,0.8333333134651184,0.5681818127632141,0.75,0.8863636255264282,0.4524991810321808,0.8235294222831726,0.6363636255264282,9.999999747378752e-05
0.7670454382896423,0.8564049601554871,0.4956059157848358,0.7764706015586853,0.75,0.75,0.8904958963394165,0.44279053807258606,0.7894737124443054,0.6818181872367859,9.999999747378752e-05
0.8465909361839294,0.9393724203109741,0.381966769695282,0.9066666960716248,0.7727272510528564,0.75,0.8935950994491577,0.43791550397872925,0.7894737124443054,0.6818181872367859,9.999999747378752e-05
0.8409090638160706,0.9334323406219482,0.37976405024528503,0.9166666865348816,0.75,0.7727272510528564,0.9152892827987671,0.4053516387939453,0.800000011920929,0.7272727489471436,9.999999747378752e-05
0.8409090638160706,0.9434400796890259,0.36845147609710693,0.8846153616905212,0.7840909361839294,0.7727272510528564,0.9101239442825317,0.397134393453598,0.800000011920929,0.7272727489471436,9.999999747378752e-05
0.8636363744735718,0.9497029185295105,0.34706413745880127,0.9102563858032227,0.8068181872367859,0.7954545617103577,0.9018595218658447,0.400771826505661,0.8095238208770752,0.7727272510528564,9.999999747378752e-05
0.875,0.9661673903465271,0.3066313862800598,0.9125000238418579,0.8295454382896423,0.7954545617103577,0.8935950398445129,0.4137921631336212,0.8095238208770752,0.7727272510528564,9.999999747378752e-05
0.9261363744735718,0.9718492031097412,0.2733955383300781,0.9870129823684692,0.8636363744735718,0.8181818127632141,0.8915289640426636,0.4095171093940735,0.8181818127632141,0.8181818127632141,9.999999747378752e-05
0.9261363744735718,0.9861183166503906,0.25370776653289795,0.9518072009086609,0.8977272510528564,0.8409090638160706,0.8946281671524048,0.4090302288532257,0.8260869383811951,0.8636363744735718,9.999999747378752e-05
0.9772727489471436,0.9968363046646118,0.19166521728038788,0.9772727489471436,0.9772727489471436,0.8409090638160706,0.8966942429542542,0.40040695667266846,0.8260869383811951,0.8636363744735718,9.999999747378752e-05
0.9375,0.9882489442825317,0.22456850111484528,0.9753086566925049,0.8977272510528564,0.8409090638160706,0.8987603187561035,0.39411428570747375,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9375,0.9850852489471436,0.22869272530078888,0.9753086566925049,0.8977272510528564,0.8409090638160706,0.9008263945579529,0.38853299617767334,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9602272510528564,0.9921874403953552,0.20898891985416412,0.9879518151283264,0.9318181872367859,0.8409090638160706,0.9049587249755859,0.3859318494796753,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9488636255264282,0.9967716932296753,0.18280839920043945,0.9647058844566345,0.9318181872367859,0.8409090638160706,0.9039256572723389,0.3913465440273285,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9431818127632141,0.9917354583740234,0.21076789498329163,0.9333333373069763,0.9545454382896423,0.8409090638160706,0.9028925895690918,0.39257052540779114,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9659090638160706,0.9966425895690918,0.17213359475135803,0.9767441749572754,0.9545454382896423,0.8409090638160706,0.9049586653709412,0.39258232712745667,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9545454382896423,0.9908316135406494,0.19035857915878296,0.976190447807312,0.9318181872367859,0.8409090638160706,0.9070248007774353,0.38961827754974365,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9545454382896423,0.9947055578231812,0.17635034024715424,0.9651162624359131,0.9431818127632141,0.8409090638160706,0.9070247411727905,0.39051342010498047,0.8260869383811951,0.8636363744735718,4.999999873689376e-05
0.9602272510528564,0.9943827390670776,0.1675037443637848,0.9655172228813171,0.9545454382896423,0.8409090638160706,0.9070248007774353,0.38946762681007385,0.8260869383811951,0.8636363744735718,2.499999936844688e-05
0.9715909361839294,0.9961259961128235,0.16322682797908783,1.0,0.9431818127632141,0.8409090638160706,0.9080578684806824,0.3870185911655426,0.8260869383811951,0.8636363744735718,2.499999936844688e-05
0.9772727489471436,0.9965134263038635,0.14482100307941437,0.9772727489471436,0.9772727489471436,0.8636363744735718,0.9070247411727905,0.38998162746429443,0.8333333134651184,0.9090909361839294,2.499999936844688e-05
0.9715909361839294,0.9988378286361694,0.16002686321735382,0.9882352948188782,0.9545454382896423,0.8636363744735718,0.9070248007774353,0.392185240983963,0.8333333134651184,0.9090909361839294,2.499999936844688e-05
0.9829545617103577,0.9985150098800659,0.14404109120368958,0.9775280952453613,0.9886363744735718,0.8636363744735718,0.9070248007774353,0.3944345712661743,0.8333333134651184,0.9090909361839294,2.499999936844688e-05
