model,accuracy,precision,recall,f1,tn,fp,fn,tp
Embedding Logistic Regression,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,21,1,1,21
Embedding Linear SVM,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9545454545454546,21,1,1,21
Embedding Random Forest,0.9318181818181818,0.9523809523809523,0.9090909090909091,0.9302325581395349,21,1,2,20
