model,accuracy,precision,recall,f1,tn,fp,fn,tp
Embedding Random Forest,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,20,2,2,20
Embedding Logistic Regression,0.8409090909090909,0.8,0.9090909090909091,0.851063829787234,17,5,2,20
Embedding Linear SVM,0.8409090909090909,0.8,0.9090909090909091,0.851063829787234,17,5,2,20
