model,accuracy,precision,recall,f1,tn,fp,fn,tp
Hybrid Random Forest,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9090909090909091,20,2,2,20
Hybrid Logistic Regression,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,4,2,20
Hybrid Linear SVM,0.8409090909090909,0.8,0.9090909090909091,0.851063829787234,17,5,2,20
Hybrid Extra Trees,0.8409090909090909,0.8947368421052632,0.7727272727272727,0.8292682926829268,20,2,5,17
