model,accuracy,precision,recall,f1,tn,fp,fn,tp
Embedding Random Forest,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,19,3,3,19
Embedding Logistic Regression,0.7954545454545454,0.782608695652174,0.8181818181818182,0.8,17,5,4,18
Embedding Linear SVM,0.7954545454545454,0.782608695652174,0.8181818181818182,0.8,17,5,4,18
