model,accuracy,precision,recall,f1,tn,fp,fn,tp
Linear SVM,0.9318181818181818,0.88,1.0,0.9361702127659575,19,3,0,22
Logistic Regression,0.9090909090909091,0.875,0.9545454545454546,0.9130434782608695,19,3,1,21
Random Forest Simple Features,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,19,3,3,19
