model,accuracy,precision,recall,f1,tn,fp,fn,tp
Embedding Logistic Regression,0.8409090909090909,0.8260869565217391,0.8636363636363636,0.8444444444444444,18,4,3,19
Embedding Linear SVM,0.8181818181818182,0.7916666666666666,0.8636363636363636,0.8260869565217391,17,5,3,19
Embedding Random Forest,0.8181818181818182,0.7916666666666666,0.8636363636363636,0.8260869565217391,17,5,3,19
