accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.4943181872367859,0.5282799601554871,0.8636623620986938,0.49056604504585266,0.2954545319080353,0.6363636255264282,0.7479338645935059,0.8067263960838318,1.0,0.27272728085517883
0.5852272510528564,0.6316503286361694,0.8421434760093689,0.6530612111091614,0.3636363744735718,0.6818181872367859,0.7716941833496094,0.7990034222602844,1.0,0.3636363744735718
0.5965909361839294,0.6662577390670776,0.827629029750824,0.6666666865348816,0.3863636255264282,0.6818181872367859,0.8295454978942871,0.791185200214386,1.0,0.3636363744735718
0.6306818127632141,0.7152634263038635,0.8216316103935242,0.7346938848495483,0.40909090638160706,0.6818181872367859,0.8595041036605835,0.783592164516449,0.8999999761581421,0.40909090638160706
0.625,0.7591683864593506,0.8034371733665466,0.7291666865348816,0.39772728085517883,0.7045454382896423,0.8657025098800659,0.7777357697486877,0.8461538553237915,0.5
0.6704545617103577,0.7614282369613647,0.8001323342323303,0.7678571343421936,0.4886363744735718,0.7272727489471436,0.8605372309684753,0.7719004154205322,0.8571428656578064,0.5454545617103577
0.6988636255264282,0.7904183864593506,0.7874307632446289,0.843137264251709,0.4886363744735718,0.7272727489471436,0.8739669322967529,0.7666813135147095,0.8571428656578064,0.5454545617103577
0.6590909361839294,0.7990056276321411,0.7845920920372009,0.7916666865348816,0.4318181872367859,0.75,0.8801652789115906,0.7631714344024658,0.8666666746139526,0.5909090638160706
0.7556818127632141,0.8862990736961365,0.7528634667396545,0.8461538553237915,0.625,0.75,0.8842974901199341,0.7595913410186768,0.8666666746139526,0.5909090638160706
0.6875,0.8453642129898071,0.7599766254425049,0.800000011920929,0.5,0.7272727489471436,0.8915289044380188,0.755366325378418,0.8571428656578064,0.5454545617103577
0.7443181872367859,0.8953382968902588,0.7334699034690857,0.9056603908538818,0.5454545617103577,0.7045454382896423,0.8657025098800659,0.753319501876831,0.800000011920929,0.5454545617103577
0.7329545617103577,0.8769370317459106,0.7321876287460327,0.8474576473236084,0.5681818127632141,0.7045454382896423,0.8502066135406494,0.7535343170166016,0.800000011920929,0.5454545617103577
0.7954545617103577,0.9303976893424988,0.7065683007240295,0.90625,0.6590909361839294,0.7045454382896423,0.85537189245224,0.7559329867362976,0.800000011920929,0.5454545617103577
0.7670454382896423,0.89805006980896,0.7183393836021423,0.8983050584793091,0.6022727489471436,0.7045454382896423,0.8481404781341553,0.7573153972625732,0.800000011920929,0.5454545617103577
0.7670454382896423,0.9135459661483765,0.6955540180206299,0.9122806787490845,0.5909090638160706,0.7045454382896423,0.8502066135406494,0.7581376433372498,0.7647058963775635,0.5909090638160706
0.8181818127632141,0.9549974203109741,0.6616055369377136,0.9516128897666931,0.6704545617103577,0.7045454382896423,0.8533057570457458,0.7566116452217102,0.7647058963775635,0.5909090638160706
0.8125,0.9148373007774353,0.6865115761756897,0.9365079402923584,0.6704545617103577,0.75,0.8481404781341553,0.7576297521591187,0.7894737124443054,0.6818181872367859
0.8011363744735718,0.9121254682540894,0.6875820755958557,0.920634925365448,0.6590909361839294,0.7954545617103577,0.8460743427276611,0.7586835622787476,0.8095238208770752,0.7727272510528564
0.8636363744735718,0.9679751992225647,0.6446263790130615,0.9848484992980957,0.7386363744735718,0.7954545617103577,0.8460744023323059,0.7567226886749268,0.8095238208770752,0.7727272510528564
0.8465909361839294,0.9580320119857788,0.6488437056541443,0.9552238583564758,0.7272727489471436,0.7954545617103577,0.8419421315193176,0.7573263645172119,0.8095238208770752,0.7727272510528564
0.8238636255264282,0.9399535059928894,0.6486217975616455,0.9130434989929199,0.7159090638160706,0.7954545617103577,0.8460743427276611,0.7572312951087952,0.8095238208770752,0.7727272510528564
