stage,model,accuracy,precision,recall,f1,tn,fp,fn,tp
03_baseline,Linear SVM,0.9318181818181818,0.88,1.0,0.9361702127659576,19,3,0,22
04_transformer_embeddings,Embedding Random Forest,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,20,2,2,20
