stage,model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold
03_baseline,Linear SVM,0.9318181818181818,0.88,1.0,0.9361702127659576,19,3,0,22,
04_transformer_classic,Embedding Random Forest,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,20,2,2,20,
04B_custom_mlp,Custom MLP threshold 0.40,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,18,4,2,20,0.40000000000000013
