stage,model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold
03_baseline_tfidf_svm,Linear SVM,0.9318181818181818,0.88,1.0,0.9361702127659576,19,3,0,22,
06_hybrid,Hybrid Random Forest,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,20,2,2,20,
07_tfidf_keras_mlp,TF-IDF Keras MLP,0.8636363636363636,0.7857142857142857,1.0,0.88,16,6,0,22,0.45
